윈도우,단지,모델,RMSE,WAPE
BT@2022-06,강남구|개포동|래미안블레스티지|59.96,RandomWalk,23082.731640774124,0.08530318602261036
BT@2022-06,강남구|개포동|래미안블레스티지|59.96,SeasonalNaive,23463.18037550171,0.09558067831449107
BT@2022-06,강남구|개포동|래미안블레스티지|59.96,AR,25497.817887490753,0.09668618263152887
BT@2022-06,강남구|개포동|래미안블레스티지|59.96,BAR,25458.992260379673,0.09663395002547055
BT@2022-06,강남구|개포동|래미안블레스티지|59.96,BAR-X,25589.942462558083,0.09729638909060026
BT@2024-06,강남구|개포동|래미안블레스티지|84.79,RandomWalk,30250.688697394216,0.08414872798434382
BT@2024-06,강남구|개포동|래미안블레스티지|84.79,SeasonalNaive,30250.688697394216,0.08414872798434382
BT@2024-06,강남구|개포동|래미안블레스티지|84.79,AR,26176.410286585487,0.07271634795457385
BT@2024-06,강남구|개포동|래미안블레스티지|84.79,BAR,26212.203308861037,0.07277605641061947
BT@2024-06,강남구|개포동|래미안블레스티지|84.79,BAR-X,31065.769857984767,0.08651811269182227
BT@2023-06,강남구|개포동|래미안블레스티지|84.79,RandomWalk,2.3283064365386963e-10,7.9600220052605e-16
BT@2023-06,강남구|개포동|래미안블레스티지|84.79,SeasonalNaive,19921.721813136635,0.05555555555555609
BT@2023-06,강남구|개포동|래미안블레스티지|84.79,AR,5354.159210605022,0.016592056460560105
BT@2023-06,강남구|개포동|래미안블레스티지|84.79,BAR,5335.4401191839315,0.016658784368625536
BT@2023-06,강남구|개포동|래미안블레스티지|84.79,BAR-X,2031.4576888741026,0.006343905257512524
BT@2022-06,강남구|개포동|래미안블레스티지|84.79,RandomWalk,14469.796128487886,0.028340080971660485
BT@2022-06,강남구|개포동|래미안블레스티지|84.79,SeasonalNaive,21180.769579975247,0.0596491228070178
BT@2022-06,강남구|개포동|래미안블레스티지|84.79,AR,21135.559172107416,0.050181319866304655
BT@2022-06,강남구|개포동|래미안블레스티지|84.79,BAR,18992.93650617636,0.04367967097355949
BT@2022-06,강남구|개포동|래미안블레스티지|84.79,BAR-X,19511.36670387713,0.045481894338215915
BT@2024-06,강남구|개포동|래미안블레스티지|84.94,RandomWalk,5448.623679426047,0.01743745261561874
BT@2024-06,강남구|개포동|래미안블레스티지|84.94,SeasonalNaive,7938.56620135751,0.028051554207733732
BT@2024-06,강남구|개포동|래미안블레스티지|84.94,AR,4661.050979517556,0.014799277815707713
BT@2024-06,강남구|개포동|래미안블레스티지|84.94,BAR,4620.935088909782,0.01465655757627456
BT@2024-06,강남구|개포동|래미안블레스티지|84.94,BAR-X,6593.986277845023,0.021265502593044397
BT@2023-06,강남구|개포동|래미안블레스티지|84.94,RandomWalk,1909.4065395650223,0.00552486187845348
BT@2023-06,강남구|개포동|래미안블레스티지|84.94,SeasonalNaive,1909.4065395650223,0.00552486187845348
BT@2023-06,강남구|개포동|래미안블레스티지|84.94,AR,723.4608959577824,0.0023696524710454165
BT@2023-06,강남구|개포동|래미안블레스티지|84.94,BAR,703.1173676258737,0.0022846972554801184
BT@2023-06,강남구|개포동|래미안블레스티지|84.94,BAR-X,4126.936753028446,0.01330109917093525
BT@2022-06,강남구|개포동|래미안블레스티지|84.94,RandomWalk,2.3283064365386963e-10,7.9600220052605e-16
BT@2022-06,강남구|개포동|래미안블레스티지|84.94,SeasonalNaive,2.3283064365386963e-10,7.9600220052605e-16
BT@2022-06,강남구|개포동|래미안블레스티지|84.94,AR,1014.7619797227734,0.003077211702731007
BT@2022-06,강남구|개포동|래미안블레스티지|84.94,BAR,1031.8273532711912,0.00314295770322169
BT@2022-06,강남구|개포동|래미안블레스티지|84.94,BAR-X,1052.7068047685327,0.003227017451460875
BT@2024-06,강남구|개포동|래미안블레스티지|84.95,RandomWalk,31795.243354942468,0.09433962264151022
BT@2024-06,강남구|개포동|래미안블레스티지|84.95,SeasonalNaive,35852.707940498374,0.11041229909154479
BT@2024-06,강남구|개포동|래미안블레스티지|84.95,AR,27909.693767436278,0.08228406139358585
BT@2024-06,강남구|개포동|래미안블레스티지|84.95,BAR,27637.22618630294,0.08101370971043936
BT@2024-06,강남구|개포동|래미안블레스티지|84.95,BAR-X,33699.30007588601,0.10000125650771431
BT@2023-06,강남구|개포동|래미안블레스티지|84.95,RandomWalk,3145.764348029579,0.01021209740769879
BT@2023-06,강남구|개포동|래미안블레스티지|84.95,SeasonalNaive,24622.144504490258,0.07855459544383354
BT@2023-06,강남구|개포동|래미안블레스티지|84.95,AR,4317.760422529218,0.01377017943686032
BT@2023-06,강남구|개포동|래미안블레스티지|84.95,BAR,4866.221538697539,0.015641707721593585
BT@2023-06,강남구|개포동|래미안블레스티지|84.95,BAR-X,6965.7607983884145,0.023843203374682702
BT@2022-06,강남구|개포동|래미안블레스티지|84.95,RandomWalk,20953.818267800263,0.04922850844966936
BT@2022-06,강남구|개포동|래미안블레스티지|84.95,SeasonalNaive,22912.878474779256,0.06906686260102884
BT@2022-06,강남구|개포동|래미안블레스티지|84.95,AR,27325.185856137854,0.0711938524946344
BT@2022-06,강남구|개포동|래미안블레스티지|84.95,BAR,25714.394676664986,0.06594530720775794
BT@2022-06,강남구|개포동|래미안블레스티지|84.95,BAR-X,25729.912210361923,0.06606262282920984
BT@2024-06,강남구|개포동|래미안블레스티지|99.91,RandomWalk,13070.32261779859,0.03365384615384666
BT@2024-06,강남구|개포동|래미안블레스티지|99.91,SeasonalNaive,13070.32261779859,0.03365384615384666
BT@2024-06,강남구|개포동|래미안블레스티지|99.91,AR,9296.891524363124,0.024156723243038154
BT@2024-06,강남구|개포동|래미안블레스티지|99.91,BAR,10109.497596697152,0.02623016642340941
BT@2024-06,강남구|개포동|래미안블레스티지|99.91,BAR-X,12932.2211588329,0.0333120124781438
BT@2023-06,강남구|개포동|래미안블레스티지|99.91,RandomWalk,1.7462298274040222e-10,5.212626350459768e-16
BT@2023-06,강남구|개포동|래미안블레스티지|99.91,SeasonalNaive,10433.320021290901,0.026741293532338787
BT@2023-06,강남구|개포동|래미안블레스티지|99.91,AR,5656.482900471165,0.015193651197621928
BT@2023-06,강남구|개포동|래미안블레스티지|99.91,BAR,4471.575590865072,0.011951495917415187
BT@2023-06,강남구|개포동|래미안블레스티지|99.91,BAR-X,136.7916985640632,0.00034982254959825906
BT@2022-06,강남구|개포동|래미안블레스티지|99.91,RandomWalk,6414.501799308702,0.010296789824349388
BT@2022-06,강남구|개포동|래미안블레스티지|99.91,SeasonalNaive,15086.55582519311,0.036947304663840184
BT@2022-06,강남구|개포동|래미안블레스티지|99.91,AR,19004.1414903094,0.045277813362026055
BT@2022-06,강남구|개포동|래미안블레스티지|99.91,BAR,17474.548747872475,0.041374503709655695
BT@2022-06,강남구|개포동|래미안블레스티지|99.91,BAR-X,18236.789175933154,0.04359563539934876
BT@2024-06,강남구|개포동|래미안블레스티지|99.96,RandomWalk,13070.32261779859,0.03365384615384666
BT@2024-06,강남구|개포동|래미안블레스티지|99.96,SeasonalNaive,13070.32261779859,0.03365384615384666
BT@2024-06,강남구|개포동|래미안블레스티지|99.96,AR,9012.804669280571,0.023413476750063302
BT@2024-06,강남구|개포동|래미안블레스티지|99.96,BAR,10020.695974235397,0.026001540506507333
BT@2024-06,강남구|개포동|래미안블레스티지|99.96,BAR-X,12904.97637911994,0.03324448867343661
BT@2023-06,강남구|개포동|래미안블레스티지|99.96,RandomWalk,1.7462298274040222e-10,5.212626350459768e-16
BT@2023-06,강남구|개포동|래미안블레스티지|99.96,SeasonalNaive,10433.320021290901,0.026741293532338787
BT@2023-06,강남구|개포동|래미안블레스티지|99.96,AR,6113.293493889459,0.016392294909482616
BT@2023-06,강남구|개포동|래미안블레스티지|99.96,BAR,4609.096716538509,0.01230452117566668
BT@2023-06,강남구|개포동|래미안블레스티지|99.96,BAR-X,73.22134632275707,0.00018224983083953576
BT@2022-06,강남구|개포동|래미안블레스티지|99.96,RandomWalk,6414.501799308702,0.010296789824349388
BT@2022-06,강남구|개포동|래미안블레스티지|99.96,SeasonalNaive,15086.55582519311,0.036947304663840184
BT@2022-06,강남구|개포동|래미안블레스티지|99.96,AR,20786.307658004243,0.049839158229875974
BT@2022-06,강남구|개포동|래미안블레스티지|99.96,BAR,18115.711406360868,0.04305150640165155
BT@2022-06,강남구|개포동|래미안블레스티지|99.96,BAR-X,18771.60078338726,0.04497855765358731
BT@2024-06,강남구|개포동|래미안블레스티지|99.97,RandomWalk,13070.32261779859,0.03365384615384666
BT@2024-06,강남구|개포동|래미안블레스티지|99.97,SeasonalNaive,13070.32261779859,0.03365384615384666
BT@2024-06,강남구|개포동|래미안블레스티지|99.97,AR,9012.804669280571,0.023413476750063302
BT@2024-06,강남구|개포동|래미안블레스티지|99.97,BAR,10020.695974235397,0.026001540506507333
BT@2024-06,강남구|개포동|래미안블레스티지|99.97,BAR-X,12904.97637911994,0.03324448867343661
BT@2023-06,강남구|개포동|래미안블레스티지|99.97,RandomWalk,1.7462298274040222e-10,5.212626350459768e-16
BT@2023-06,강남구|개포동|래미안블레스티지|99.97,SeasonalNaive,10433.320021290901,0.026741293532338787
BT@2023-06,강남구|개포동|래미안블레스티지|99.97,AR,6113.293493889459,0.016392294909482616
BT@2023-06,강남구|개포동|래미안블레스티지|99.97,BAR,4609.096716538509,0.01230452117566668
BT@2023-06,강남구|개포동|래미안블레스티지|99.97,BAR-X,73.22134632275707,0.00018224983083953576
BT@2022-06,강남구|개포동|래미안블레스티지|99.97,RandomWalk,6414.501799308702,0.010296789824349388
BT@2022-06,강남구|개포동|래미안블레스티지|99.97,SeasonalNaive,15086.55582519311,0.036947304663840184
BT@2022-06,강남구|개포동|래미안블레스티지|99.97,AR,20786.307658004243,0.049839158229875974
BT@2022-06,강남구|개포동|래미안블레스티지|99.97,BAR,18115.711406360868,0.04305150640165155
BT@2022-06,강남구|개포동|래미안블레스티지|99.97,BAR-X,18771.60078338726,0.04497855765358731
BT@2024-06,강남구|개포동|래미안블레스티지|99.99,RandomWalk,13070.32261779859,0.03365384615384666
BT@2024-06,강남구|개포동|래미안블레스티지|99.99,SeasonalNaive,13070.32261779859,0.03365384615384666
BT@2024-06,강남구|개포동|래미안블레스티지|99.99,AR,9296.891524363124,0.024156723243038154
BT@2024-06,강남구|개포동|래미안블레스티지|99.99,BAR,10109.497596697152,0.02623016642340941
